run,gen,nevals,partN,part,partError,best,bestError
0,0,13,12,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,14,13,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,15,14,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,16,15,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,17,16,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,18,17,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,19,18,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,20,19,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,21,20,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
0,0,22,21,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572,"[3.4442185152504816, -3.656357558875988, 4.560342718892494, -2.6203537290810863, -2.6395191026256546]",19.992069147517572
