,gen,nevals,bestError,env
208,209,10401,35.95658677617557,2
209,210,10451,35.95658677617557,2
210,211,10501,35.95658677617557,2
211,212,10551,35.95658677617557,2
212,213,10601,35.95658677617557,2
213,214,10651,34.293752357880734,3
214,215,10701,34.293752357880734,3
215,216,10751,32.273981739165045,3
216,217,10801,32.273981739165045,3
217,218,10851,30.93698414710967,3
218,219,10901,30.87923512918396,3
219,220,10951,30.87923512918396,3
220,221,11001,30.87923512918396,3
221,222,11051,30.680813340128203,3
222,223,11101,30.680813340128203,3
223,224,11151,30.680813340128203,3
224,225,11201,30.680813340128203,3
225,226,11251,30.680813340128203,3
226,227,11301,27.65134615624026,3
227,228,11351,27.65134615624026,3
228,229,11401,27.393330600395267,3
229,230,11451,27.393330600395267,3
230,231,11501,27.393330600395267,3
231,232,11551,25.056094198553097,3
232,233,11601,25.056094198553097,3
233,234,11651,25.056094198553097,3
234,235,11701,25.056094198553097,3
235,236,11751,25.056094198553097,3
236,237,11801,25.056094198553097,3
237,238,11851,25.056094198553097,3
238,239,11901,25.056094198553097,3
239,240,11951,25.056094198553097,3
240,241,12001,25.056094198553097,3
241,242,12051,25.056094198553097,3
242,243,12101,42.48680688181683,4
243,244,12151,41.275082577481456,4
244,245,12201,40.76012620700039,4
245,246,12251,35.84599311820543,5
246,247,12301,35.84599311820543,5
247,248,12351,35.84599311820543,5
248,249,12401,27.087110603279072,5
249,250,12451,27.087110603279072,5
250,251,12501,27.087110603279072,5
251,252,12551,27.087110603279072,5
252,253,12601,27.087110603279072,5
253,254,12651,27.087110603279072,5
254,255,12701,27.087110603279072,5
255,256,12751,24.434795786271053,5
256,257,12801,24.434795786271053,5
257,258,12851,24.434795786271053,5
258,259,12901,24.434795786271053,5
259,260,12951,24.434795786271053,5
260,261,13001,24.434795786271053,5
261,262,13051,24.434795786271053,5
262,263,13101,24.434795786271053,5
263,264,13151,24.434795786271053,5
264,265,13201,24.434795786271053,5
265,266,13251,23.09701501640029,5
266,267,13301,23.09701501640029,5
267,268,13351,23.09701501640029,5
268,269,13401,23.09701501640029,5
269,270,13451,23.09701501640029,5
270,271,13501,23.09701501640029,5
271,272,13551,23.09701501640029,5
272,273,13601,23.09701501640029,5
273,274,13651,23.09701501640029,5
274,275,13701,23.09701501640029,5
275,276,13751,23.09701501640029,5
276,277,13801,23.09701501640029,5
277,278,13851,23.09701501640029,5
278,279,13901,23.09701501640029,5
279,280,13951,23.09701501640029,5
280,281,14001,23.09701501640029,5
281,282,14051,23.09701501640029,5
282,283,14101,23.09701501640029,5
283,284,14151,23.09701501640029,5
284,285,14201,23.09701501640029,5
285,286,14251,23.09701501640029,5
286,287,14301,23.09701501640029,5
287,288,14351,23.09701501640029,5
288,289,14401,23.09701501640029,5
289,290,14451,23.09701501640029,5
290,291,14501,23.09701501640029,5
291,292,14551,23.09701501640029,5
292,293,14601,23.09701501640029,5
293,294,14651,23.09701501640029,5
294,295,14701,23.09701501640029,5
295,296,14751,23.09701501640029,5
296,297,14801,23.09701501640029,5
297,298,14851,23.09701501640029,5
298,299,14901,23.09701501640029,5
299,300,14951,23.09701501640029,5
